Treatment,RR,CI_lower,CI_upper,pre_lower,pre_upper,WEIGHT,tau2,Reference
GUSEL,0.897448817,0.558895501,1.44108224,0.555263996,1.45050712,4.138569658,0,ADA
IFX,1.171434332,0.514181839,2.668819255,0.508387052,2.699239466,2.380353171,0,ADA
IXE,0.900353201,0.525298813,1.54319002,0.521417261,1.554677888,3.637579337,0,ADA
MTX,0.079080086,0.008875232,0.704619329,0.008612016,0.726155136,0.896124284,0,ADA
NETA,0.781775546,0.031610396,19.33455693,0.030244912,20.20746532,0.610957025,0,ADA
PBO,0.992591423,0.6682761,1.474297425,0.664646869,1.482347664,4.954277696,0,ADA
RISAN,0.724718542,0.432653831,1.213942713,0.429592685,1.222592899,3.799587873,0,ADA
SECU,1.055185463,0.659843698,1.687394098,0.655593489,1.698333465,4.174930982,0,ADA
SONELO,1.22515772,0.236346073,6.350904932,0.231052981,6.496395033,1.191107248,0,ADA
TILDRA,0.788641759,0.329916441,1.885191969,0.325982566,1.907941986,2.249066279,0,ADA
USK,0.95948987,0.589944466,1.56052114,0.586008123,1.571003497,4.029826054,0,ADA
ADA,1.441350659,0.583062088,3.563071177,0.5758436,3.607736062,2.165644797,0,CERTO
APRE,1.220128599,0.456173161,3.26348397,0.450037217,3.307979303,1.992195746,0,CERTO
BIME,0.747053249,0.24987583,2.233463546,0.246137287,2.267387292,1.789672645,0,CERTO
BRODA,1.476238999,0.563434407,3.867853217,0.556013621,3.919475172,2.034879512,0,CERTO
CICLO,8.10149937,0.409354012,160.3362616,0.392874332,167.0617973,0.656567125,0,CERTO
DEUCRAVA,0.870003427,0.080203446,9.437324763,0.077614365,9.75213758,0.822171559,0,CERTO
ETA,1.139696055,0.467108597,2.780739009,0.461408759,2.815089814,2.19741999,0,CERTO
FUM,1.251244109,0.390137943,4.012969894,0.383929582,4.077861915,1.68183573,0,CERTO
GUSEL,1.293538444,0.52690111,3.175627594,0.52042747,3.215129491,2.182327112,0,CERTO
IFX,1.688447646,0.568629883,5.013551939,0.560174986,5.089223053,1.800915946,0,CERTO
IXE,1.297724678,0.524723843,3.209477448,0.518224366,3.24973014,2.164560368,0,CERTO
MTX,0.113982134,0.01142528,1.137121109,0.011069204,1.17370022,0.852094895,0,CERTO
NETA,1.126812698,0.042139025,30.13137725,0.040275416,31.52560502,0.596438283,0,CERTO
PBO,1.430672302,0.633489271,3.231030622,0.626425346,3.267465548,2.405921445,0,CERTO
RISAN,1.044573548,0.414454323,2.632700007,0.409214193,2.666412646,2.120291438,0,CERTO
SECU,1.520892262,0.633715036,3.650084253,0.626124407,3.69433494,2.238840733,0,CERTO
